name;priority_id
Desarrollo Social Central;1
Subdirección de áreas en desarrollo;1
Protocolo Municipalidad Central;1
Área Social/ DS Central;1
Cursos Técnico Productivos / DSC;1
Oficina EMEFUT;1
Actividades Masivas Regencias Norte;2
Oficina Desarrollo Integral;3
Actividades Alcaldías Auxiliares;4
Dirección Municipal del Mujer;5
Oficina MUNIJOVEN;5
